ds,y
2016-09-12,1324.6
2016-09-13,1323.65
2016-09-14,1321.75
2016-09-15,1310.8
2016-09-16,1308.35
2016-09-17,1314.85
2016-09-18,1313.8
2016-09-19,1326.1
2016-09-20,1339.1
2016-09-21,1338.65
2016-09-22,1340.5
2016-09-23,1327
2016-09-24,1322.5
2016-09-25,1318.1
2016-09-26,1322.5
2016-09-27,1313.3
2016-09-28,1283.3
2016-09-29,1269.4
2016-09-30,1254.5
2016-10-01,1258.75
2016-10-02,1259.5
2016-10-03,1253.45
2016-10-04,1256.5
2016-10-05,1261.05
2016-10-06,1251.75
2016-10-07,1254.8
2016-10-08,1258.2
2016-10-09,1269.05
2016-10-10,1271.65
2016-10-11,1266.05
2016-10-12,1265.55
2016-10-13,1269.4
2016-10-14,1270.5
2016-10-15,1266.25
2016-10-16,1273
2016-10-17,1272
2016-10-18,1288.45
2016-10-19,1303.75
2016-10-20,1301
2016-10-21,1302.8
2016-10-22,1283.05
2016-10-23,1282.35
2016-10-24,1281.4
2016-10-25,1267.5
2016-10-26,1236.45
2016-10-27,1213.6
2016-10-28,1226.95
2016-10-29,1229.2
2016-10-30,1226.75
2016-10-31,1211
2016-11-01,1214.25
2016-11-02,1212.25
2016-11-03,1185.35
2016-11-04,1186.1
2016-11-05,1187.7
2016-11-06,1187
2016-11-07,1186.55
2016-11-08,1178.1
2016-11-09,1161.85
2016-11-10,1173.5
2016-11-11,1162.2
2016-11-12,1172.5
2016-11-13,1177.65
2016-11-14,1171.05
2016-11-15,1163.6
2016-11-16,1156.1
2016-11-17,1158.55
2016-11-18,1162.25
2016-11-19,1126.95
2016-11-20,1131.6
2016-11-21,1136.25
2016-11-22,1125.7
2016-11-23,1133.65
2016-11-24,1131.35
2016-11-25,1134.6
2016-11-26,1145.9
2016-11-27,1151
2016-11-28,1164.25
2016-11-29,1176.7
2016-11-30,1175.85
2016-12-01,1178.5
2016-12-02,1189.5
2016-12-03,1178.55
2016-12-04,1205.05
2016-12-05,1190.35
2016-12-06,1203
2016-12-07,1216.05
2016-12-08,1214.75
2016-12-09,1196.05
2016-12-10,1200.55
2016-12-11,1212.85
2016-12-12,1216.8
2016-12-13,1195
2016-12-14,1189.7
2016-12-15,1184.85
2016-12-16,1192.8
2016-12-17,1212.8
2016-12-18,1203.65
2016-12-19,1221.95
2016-12-20,1215.2
2016-12-21,1226.75
2016-12-22,1231
2016-12-23,1242.1
2016-12-24,1236.8
2016-12-25,1228.3
2016-12-26,1222.25
2016-12-27,1230.75
2016-12-28,1224.4
2016-12-29,1240.55
2016-12-30,1241.95
2016-12-31,1237.3
2017-01-01,1233.2
2017-01-02,1236.65
2017-01-03,1247.9
2017-01-04,1253.65
2017-01-05,1257.2
2017-01-06,1255.6
2017-01-07,1240.4
2017-01-08,1238.1
2017-01-09,1226.5
2017-01-10,1230.95
2017-01-11,1216.65
2017-01-12,1209.2
2017-01-13,1206.55
2017-01-14,1202.65
2017-01-15,1204.2
2017-01-16,1204.6
2017-01-17,1198.8
2017-01-18,1229.35
2017-01-19,1229.6
2017-01-20,1232.4
2017-01-21,1241.6
2017-01-22,1249.05
2017-01-23,1247.5
2017-01-24,1247.5
2017-01-25,1257.55
2017-01-26,1257.25
2017-01-27,1251.1
2017-01-28,1248.8
2017-01-29,1244.85
2017-01-30,1247.25
2017-01-31,1257.65
2017-02-01,1245.8
2017-02-02,1252.5
2017-02-03,1266.45
2017-02-04,1250.05
2017-02-05,1252.9
2017-02-06,1274.3
2017-02-07,1284.15
2017-02-08,1278.95
2017-02-09,1279.05
2017-02-10,1282.1
2017-02-11,1281.85
2017-02-12,1269.4
2017-02-13,1267.8
2017-02-14,1261.85
2017-02-15,1262.8
2017-02-16,1266.45
2017-02-17,1255.45
2017-02-18,1250.3
2017-02-19,1228.45
2017-02-20,1228.05
2017-02-21,1229.8
2017-02-22,1220.4
2017-02-23,1222.95
2017-02-24,1223.15
2017-02-25,1231.25
2017-02-26,1233.3
2017-02-27,1234.2
2017-02-28,1257.4
2017-03-01,1255.9
2017-03-02,1252
2017-03-03,1258.85
2017-03-04,1260.2
2017-03-05,1252.55
2017-03-06,1256.95
2017-03-07,1265.05
2017-03-08,1262.7
2017-03-09,1266.2
2017-03-10,1264.85
2017-03-11,1274.95
2017-03-12,1279.95
2017-03-13,1293.5
2017-03-14,1291
2017-03-15,1273.1
2017-03-16,1266.55
2017-03-17,1266.4
2017-03-18,1262
2017-03-19,1275.5
2017-03-20,1254.55
2017-03-21,1255.4
2017-03-22,1248.15
2017-03-23,1242.2
2017-03-24,1242.5
2017-03-25,1250.8
2017-03-26,1255.7
2017-03-27,1245.25
2017-03-28,1249.55
2017-03-29,1248
2017-03-30,1243.5
2017-03-31,1242.25
2017-04-01,1229.25
2017-04-02,1223.75
2017-04-03,1220.3
2017-04-04,1224.9
2017-04-05,1215.65
2017-04-06,1211.9
2017-04-07,1211.05
2017-04-08,1218.8
2017-04-09,1218.9
2017-04-10,1230.3
2017-04-11,1234.1
2017-04-12,1240.75
2017-04-13,1242.15
2017-04-14,1238.7
2017-04-15,1248.55
2017-04-16,1255.55
2017-04-17,1254.4
2017-04-18,1248.1
2017-04-19,1261.1
2017-04-20,1264.9
2017-04-21,1267.55
2017-04-22,1270.95
2017-04-23,1269.6
2017-04-24,1268.1
2017-04-25,1257.7
2017-04-26,1258
2017-04-27,1261.8
2017-04-28,1271.05
2017-04-29,1284.4
2017-04-30,1286.1
2017-05-01,1282.3
2017-05-02,1270.3
2017-05-03,1272.75
2017-05-04,1285.15
2017-05-05,1295.8
2017-05-06,1292.9
2017-05-07,1284.2
2017-05-08,1286.65
2017-05-09,1289
2017-05-10,1285.3
2017-05-11,1318.65
2017-05-12,1308.5
2017-05-13,1311.75
2017-05-14,1320.4
2017-05-15,1333.1
2017-05-16,1335.55
2017-05-17,1337.85
2017-05-18,1343.5
2017-05-19,1346.25
2017-05-20,1334.2
2017-05-21,1326.5
2017-05-22,1327.55
2017-05-23,1324.55
2017-05-24,1322.85
2017-05-25,1312.1
2017-05-26,1309.6
2017-05-27,1311.3
2017-05-28,1292.1
2017-05-29,1294.8
2017-05-30,1293.3
2017-05-31,1300.05
2017-06-01,1282.55
2017-06-02,1283.35
2017-06-03,1283.1
2017-06-04,1273.7
2017-06-05,1271.25
2017-06-06,1274.25
2017-06-07,1274.5
2017-06-08,1261.8
2017-06-09,1278.75
2017-06-10,1291.4
2017-06-11,1289.25
2017-06-12,1290.25
2017-06-13,1299.6
2017-06-14,1303.3
2017-06-15,1284.75
2017-06-16,1280.2
2017-06-17,1286.4
2017-06-18,1281.2
2017-06-19,1274.9
2017-06-20,1276.45
2017-06-21,1275
2017-06-22,1273.75
2017-06-23,1266.45
2017-06-24,1272
2017-06-25,1270.15
2017-06-26,1277.05
2017-06-27,1279.2
2017-06-28,1267.2
2017-06-29,1270.9
2017-06-30,1275.6
2017-07-01,1284
2017-07-02,1284.8
2017-07-03,1284.3
2017-07-04,1277.95
2017-07-05,1274.6
2017-07-06,1282.2
2017-07-07,1280
2017-07-08,1284.35
2017-07-09,1286.2
2017-07-10,1283.3
2017-07-11,1286.95
2017-07-12,1290.35
2017-07-13,1290.5
2017-07-14,1294.9
2017-07-15,1291.85
2017-07-16,1283.85
2017-07-17,1280.2
2017-07-18,1275.5
2017-07-19,1273.45
2017-07-20,1266.3
2017-07-21,1263.7
2017-07-22,1255
2017-07-23,1250.65
2017-07-24,1247.15
2017-07-25,1240.9
2017-07-26,1242.65
2017-07-27,1251
2017-07-28,1254.6
2017-07-29,1260.6
2017-07-30,1260.35
